"filename", "language", "Markdown", "HTML", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Users\yusuf\Desktop\anonamailbeta\.idea\anonamailbeta.iml", "XML", 0, 0, 0, 0, 12, 0, 0, 12
"c:\Users\yusuf\Desktop\anonamailbeta\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"c:\Users\yusuf\Desktop\anonamailbeta\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\yusuf\Desktop\anonamailbeta\index.js", "JavaScript", 0, 0, 281, 0, 0, 3, 82, 366
"c:\Users\yusuf\Desktop\anonamailbeta\models\model.js", "JavaScript", 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\yusuf\Desktop\anonamailbeta\models\users.js", "JavaScript", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\yusuf\Desktop\anonamailbeta\package-lock.json", "JSON", 0, 0, 0, 467, 0, 0, 1, 468
"c:\Users\yusuf\Desktop\anonamailbeta\package.json", "JSON", 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\yusuf\Desktop\anonamailbeta\public\deneme.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\yusuf\Desktop\anonamailbeta\public\send.js", "JavaScript", 0, 0, 15, 0, 0, 1, 0, 16
"c:\Users\yusuf\Desktop\anonamailbeta\public\sendrequest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 6
"c:\Users\yusuf\Desktop\anonamailbeta\public\usercheck.js", "JavaScript", 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\yusuf\Desktop\anonamailbeta\readme.md", "Markdown", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\yusuf\Desktop\anonamailbeta\views\deneme.ejs", "HTML", 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\yusuf\Desktop\anonamailbeta\views\finduser.ejs", "HTML", 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\yusuf\Desktop\anonamailbeta\views\forgotpassword.ejs", "HTML", 0, 35, 0, 0, 0, 0, 13, 48
"c:\Users\yusuf\Desktop\anonamailbeta\views\inc\head.ejs", "HTML", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\yusuf\Desktop\anonamailbeta\views\index.ejs", "HTML", 0, 63, 0, 0, 0, 0, 17, 80
"c:\Users\yusuf\Desktop\anonamailbeta\views\login.ejs", "HTML", 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\yusuf\Desktop\anonamailbeta\views\passwordreset.ejs", "HTML", 0, 47, 0, 0, 0, 0, 4, 51
"c:\Users\yusuf\Desktop\anonamailbeta\views\register2.ejs", "HTML", 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\yusuf\Desktop\anonamailbeta\views\register_2.ejs", "HTML", 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\yusuf\Desktop\anonamailbeta\views\registration.ejs", "HTML", 0, 36, 0, 0, 0, 0, 2, 38
"Total", "-", 8, 309, 355, 488, 26, 4, 154, 1344